Order Date,Requested Delivery Date,Customer Country Code,Product Code,Description,Order Type,Customer Order Code,Value,Currency,Items,Route
01-Nov-10,17-Mar-11,NL,P0012,Desc P0012,VO,ORD9000,539.59,EUR,42,R007
26-Sep-10,25-May-11,NL,P0041,Desc P0041,VO,ORD8090,192.89,EUR,11,R009
15-Feb-10,21-Nov-10,BE,P0030,Desc P0030,VO,ORD6175,140.77,EUR,12,R007
20-Feb-10,13-Aug-10,FR,P0087,Desc P0087,VO,ORD8744,237.72,EUR,19,R009
18-Sep-10,13-Feb-11,SE,P0051,Desc P0051,VO,ORD6558,494.02,SEK,30,R009
27-Jun-09,23-Nov-09,TR,P0020,Desc P0020,VO,ORD9951,233.87,TRY,13,R020
09-Aug-09,19-Nov-09,BE,P0085,Desc P0085,VO,ORD5438,123.42,EUR,10,R002
22-Aug-10,31-Oct-10,DE,P0067,Desc P0067,VO,ORD4343,68.46,EUR,6,R014
21-Feb-10,21-Nov-10,FI,P0004,Desc P0004,VO,ORD3509,367.04,EUR,33,R015
26-Dec-10,13-Nov-11,TR,P0056,Desc P0056,VO,ORD2430,454.62,TRY,31,R007
21-Dec-10,13-Dec-11,FR,P0021,Desc P0021,VO,ORD7065,99.26,EUR,6,R004
15-Nov-10,08-Nov-11,FI,P0031,Desc P0031,VO,ORD8797,685.65,EUR,37,R003
27-May-10,22-Jan-11,TR,P0098,Desc P0098,VO,ORD5110,50.95,TRY,5,R009
19-May-10,16-Mar-11,TR,P0083,Desc P0083,VO,ORD3977,707.71,TRY,46,R020
08-May-10,03-Mar-11,FI,P0026,Desc P0026,VO,ORD1234,341.31,EUR,31,R010
04-Sep-09,18-Jan-10,NL,P0076,Desc P0076,VO,ORD7505,571.85,EUR,41,R018
30-Jun-09,04-Dec-09,IT,P0008,Desc P0008,VO,ORD7477,55.62,EUR,4,R006
28-Jan-09,23-Sep-09,FI,P0024,Desc P0024,VO,ORD2311,54.68,EUR,4,R010
30-May-09,17-May-10,FR,P0053,Desc P0053,VO,ORD6231,406.54,EUR,29,R003
17-Jun-09,03-Dec-09,ES,P0070,Desc P0070,VO,ORD1940,246.19,EUR,20,R005
25-Dec-09,14-Sep-10,FR,P0063,Desc P0063,VO,ORD4879,386.6,EUR,26,R017
24-Nov-09,23-Feb-10,PL,P0097,Desc P0097,VO,ORD5684,474.81,PLN,36,R007
22-Oct-09,07-Jan-10,FR,P0035,Desc P0035,VO,ORD9445,374.16,EUR,35,R012
27-Mar-09,19-Jul-09,IT,P0084,Desc P0084,VO,ORD5127,386.61,EUR,34,R006
12-Dec-09,05-Dec-10,FI,P0038,Desc P0038,VO,ORD1414,71.59,EUR,4,R005
24-Nov-10,12-Nov-11,BE,P0098,Desc P0098,VO,ORD8242,155.59,EUR,13,R016
17-Mar-10,27-Feb-11,FR,P0038,Desc P0038,VO,ORD1128,410.85,EUR,31,R020
31-Mar-09,23-Aug-09,FI,P0048,Desc P0048,VO,ORD6900,74.55,EUR,4,R015
16-Feb-09,14-May-09,NL,P0045,Desc P0045,VO,ORD1873,576.68,EUR,38,R011
03-Feb-09,16-Apr-09,TR,P0088,Desc P0088,VO,ORD6682,204.14,TRY,16,R017
29-Sep-10,12-Jun-11,DE,P0057,Desc P0057,VO,ORD5571,504.23,EUR,48,R007
22-Jul-10,11-Jun-11,TR,P0039,Desc P0039,VO,ORD8111,913.3,TRY,50,R010
10-Dec-10,15-Apr-11,DE,P0036,Desc P0036,VO,ORD3046,83.29,EUR,8,R005
29-Sep-10,15-Jul-11,TR,P0097,Desc P0097,VO,ORD6551,180.88,TRY,12,R007
11-Jan-10,13-Apr-10,NL,P0091,Desc P0091,VO,ORD7033,456.64,EUR,38,R004
05-Feb-10,02-Feb-11,IT,P0055,Desc P0055,VO,ORD9117,52.29,EUR,3,R020
23-Jan-09,15-Jul-09,IT,P0047,Desc P0047,VO,ORD6980,696.33,EUR,36,R018
22-May-10,26-Oct-10,TR,P0056,Desc P0056,VO,ORD2704,242.95,TRY,19,R015
15-May-09,23-Sep-09,SE,P0026,Desc P0026,VO,ORD2517,422.43,SEK,29,R004
14-Jan-10,16-Dec-10,BE,P0096,Desc P0096,VO,ORD7927,294.82,EUR,21,R019
12-May-10,05-Aug-10,PL,P0010,Desc P0010,VO,ORD5805,858.75,PLN,47,R004
14-Dec-09,16-Jun-10,IT,P0071,Desc P0071,VO,ORD9203,646.81,EUR,50,R001
03-Nov-10,03-May-11,FI,P0024,Desc P0024,VO,ORD4630,67.1,EUR,4,R008
21-Apr-10,28-Jul-10,DE,P0062,Desc P0062,VO,ORD2645,532.05,EUR,37,R009
26-Aug-09,18-Nov-09,BE,P0022,Desc P0022,VO,ORD7863,266.57,EUR,18,R010
29-Jan-10,04-Sep-10,TR,P0064,Desc P0064,VO,ORD5709,406.42,TRY,21,R017
21-Feb-09,22-May-09,IT,P0014,Desc P0014,VO,ORD6382,363.61,EUR,28,R005
24-Mar-09,11-Dec-09,ES,P0022,Desc P0022,VO,ORD4240,238.39,EUR,15,R014
28-Jun-10,05-Mar-11,DE,P0089,Desc P0089,VO,ORD8983,545.88,EUR,45,R011
16-Apr-09,10-Aug-09,SE,P0078,Desc P0078,VO,ORD9903,744.31,SEK,50,R011
01-Feb-09,26-Dec-09,PL,P0017,Desc P0017,VO,ORD3024,193.89,PLN,10,R009
08-Jun-10,05-Jun-11,DE,P0057,Desc P0057,VO,ORD7481,309.75,EUR,24,R010
07-Dec-09,19-Aug-10,PL,P0054,Desc P0054,VO,ORD6768,88.76,PLN,5,R015
15-Nov-10,30-Jun-11,TR,P0067,Desc P0067,VO,ORD1716,410.08,TRY,24,R006
22-Jan-10,29-Nov-10,SE,P0032,Desc P0032,VO,ORD5565,380.3,SEK,24,R018
02-Dec-10,01-Feb-11,PL,P0041,Desc P0041,VO,ORD5783,462.14,PLN,29,R013
20-Nov-10,07-Jun-11,FR,P0072,Desc P0072,VO,ORD6442,98.78,EUR,8,R007
21-Feb-09,16-Feb-10,SE,P0071,Desc P0071,VO,ORD6166,488.68,SEK,31,R005
26-Dec-10,12-Jul-11,IT,P0075,Desc P0075,VO,ORD2425,439.04,EUR,34,R014
27-Feb-10,07-May-10,NL,P0042,Desc P0042,VO,ORD8709,776.67,EUR,46,R018
17-Apr-09,01-Jan-10,SE,P0079,Desc P0079,VO,ORD9546,870.14,SEK,46,R004
22-Dec-10,03-Nov-11,DE,P0036,Desc P0036,VO,ORD3324,158.54,EUR,11,R012
28-Oct-09,19-Jan-10,FI,P0013,Desc P0013,VO,ORD1476,378.47,EUR,19,R020
30-Oct-10,01-Apr-11,DE,P0006,Desc P0006,VO,ORD6847,275.61,EUR,25,R004
22-Feb-09,02-Oct-09,PL,P0053,Desc P0053,VO,ORD9017,243.59,PLN,20,R009
09-Aug-09,25-Feb-10,BE,P0037,Desc P0037,VO,ORD6322,38.59,EUR,2,R018
15-Oct-09,12-Sep-10,SE,P0004,Desc P0004,VO,ORD5614,531.52,SEK,34,R011
